"BehaviorSpace results (NetLogo 5.3)"
"war of attrition.nlogo"
"experiment"
"02/21/2016 20:25:59:501 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","V","x1","x2","dynamic?","[step]","[u] of player 0","[u] of player 1"
"492","50","5","92","false","0","-5","45"
"490","50","5","90","false","0","-5","45"
"493","50","5","93","false","0","-5","45"
"494","50","5","94","false","0","-5","45"
"495","50","5","95","false","0","-5","45"
"496","50","5","96","false","0","-5","45"
"499","50","5","99","false","0","-5","45"
"498","50","5","98","false","0","-5","45"
"502","50","6","2","false","0","48","-2"
"501","50","6","1","false","0","49","-1"
"500","50","5","100","false","0","-5","45"
"503","50","6","3","false","0","47","-3"
"504","50","6","4","false","0","46","-4"
"505","50","6","5","false","0","45","-5"
"508","50","6","8","false","0","-6","44"
"507","50","6","7","false","0","-6","44"
"509","50","6","9","false","0","-6","44"
"510","50","6","10","false","0","-6","44"
"506","50","6","6","false","0","19","19"
"511","50","6","11","false","0","-6","44"
"514","50","6","14","false","0","-6","44"
"512","50","6","12","false","0","-6","44"
"515","50","6","15","false","0","-6","44"
"513","50","6","13","false","0","-6","44"
"516","50","6","16","false","0","-6","44"
"517","50","6","17","false","0","-6","44"
"518","50","6","18","false","0","-6","44"
"497","50","5","97","false","0","-5","45"
"520","50","6","20","false","0","-6","44"
"519","50","6","19","false","0","-6","44"
"521","50","6","21","false","0","-6","44"
"522","50","6","22","false","0","-6","44"
"523","50","6","23","false","0","-6","44"
"524","50","6","24","false","0","-6","44"
"525","50","6","25","false","0","-6","44"
"528","50","6","28","false","0","-6","44"
"530","50","6","30","false","0","-6","44"
"529","50","6","29","false","0","-6","44"
"527","50","6","27","false","0","-6","44"
"533","50","6","33","false","0","-6","44"
"532","50","6","32","false","0","-6","44"
"531","50","6","31","false","0","-6","44"
"534","50","6","34","false","0","-6","44"
"536","50","6","36","false","0","-6","44"
"535","50","6","35","false","0","-6","44"
"538","50","6","38","false","0","-6","44"
"537","50","6","37","false","0","-6","44"
"539","50","6","39","false","0","-6","44"
"540","50","6","40","false","0","-6","44"
"541","50","6","41","false","0","-6","44"
"544","50","6","44","false","0","-6","44"
"542","50","6","42","false","0","-6","44"
"543","50","6","43","false","0","-6","44"
"545","50","6","45","false","0","-6","44"
"546","50","6","46","false","0","-6","44"
"547","50","6","47","false","0","-6","44"
"526","50","6","26","false","0","-6","44"
"548","50","6","48","false","0","-6","44"
"550","50","6","50","false","0","-6","44"
"549","50","6","49","false","0","-6","44"
"551","50","6","51","false","0","-6","44"
"552","50","6","52","false","0","-6","44"
"553","50","6","53","false","0","-6","44"
"554","50","6","54","false","0","-6","44"
"559","50","6","59","false","0","-6","44"
"558","50","6","58","false","0","-6","44"
"557","50","6","57","false","0","-6","44"
"560","50","6","60","false","0","-6","44"
"556","50","6","56","false","0","-6","44"
"561","50","6","61","false","0","-6","44"
"562","50","6","62","false","0","-6","44"
"564","50","6","64","false","0","-6","44"
"565","50","6","65","false","0","-6","44"
"563","50","6","63","false","0","-6","44"
"566","50","6","66","false","0","-6","44"
"567","50","6","67","false","0","-6","44"
"568","50","6","68","false","0","-6","44"
"569","50","6","69","false","0","-6","44"
"570","50","6","70","false","0","-6","44"
"571","50","6","71","false","0","-6","44"
"573","50","6","73","false","0","-6","44"
"574","50","6","74","false","0","-6","44"
"572","50","6","72","false","0","-6","44"
"575","50","6","75","false","0","-6","44"
"576","50","6","76","false","0","-6","44"
"577","50","6","77","false","0","-6","44"
"578","50","6","78","false","0","-6","44"
"579","50","6","79","false","0","-6","44"
"580","50","6","80","false","0","-6","44"
"581","50","6","81","false","0","-6","44"
"582","50","6","82","false","0","-6","44"
"583","50","6","83","false","0","-6","44"
"585","50","6","85","false","0","-6","44"
"587","50","6","87","false","0","-6","44"
"586","50","6","86","false","0","-6","44"
